period,expected_portfolio_return,realized_portfolio_return,objective,is_robust,n_assets,n_invested,sum_w
2025-01-08,0.07570864,0.01316868,0.07518096,0,40,1,1.00000000
2025-01-13,0.05931446,-0.03269226,0.05327021,0,40,1,1.00000000
2025-01-15,0.03881604,0.01044217,0.03753355,0,40,2,1.00000000
2025-01-17,0.15814367,0.01270533,0.15174951,0,40,1,1.00000000
2025-01-22,0.02119345,0.03112131,0.01711954,0,40,1,1.00000000
2025-01-24,0.01975410,-0.00859951,0.01600568,0,40,3,1.00000000
2025-01-28,0.09249850,0.00530897,0.08675745,0,40,2,1.00000000
2025-01-30,0.06883847,0.01378672,0.06141282,0,40,1,1.00000000
2025-02-03,0.13939624,0.00723444,0.13649529,0,40,1,1.00000000
2025-02-05,0.02258733,-0.00024496,0.02073976,0,40,6,1.00000000
2025-02-07,0.08094087,-0.01368091,0.06845134,0,40,2,1.00000000
2025-02-11,0.00106550,-0.00305647,0.00033990,0,40,11,1.00000000
2025-02-13,0.09395272,0.01499977,0.08666962,0,40,1,1.00000000
2025-02-18,0.00884276,0.02414579,0.00480241,0,40,4,1.00000000
2025-02-20,0.02605530,-0.04556092,0.02174956,0,40,2,1.00000000
2025-02-24,0.05894298,0.01720847,0.05244474,0,40,1,1.00000000
2025-02-26,0.03884585,-0.00863528,0.03568603,0,40,4,1.00000000
2025-02-28,0.10717110,-0.00393658,0.10191781,0,40,1,1.00000000
2025-03-04,0.09383788,-0.01971117,0.05973132,1,40,2,1.00000000
2025-03-06,0.09828069,0.00261900,0.07640463,1,40,1,1.00000000
2025-03-10,0.05303833,-0.04240879,0.03060057,1,40,1,1.00000000
2025-03-12,0.04699772,0.00606700,0.02505983,1,40,2,1.00000000
2025-03-14,0.17950754,0.01923251,0.16288963,1,40,1,1.00000000
2025-03-18,0.03407722,0.00528152,0.02635775,1,40,4,1.00000000
2025-03-20,0.05120703,0.00249693,0.03928200,1,40,2,1.00000000
2025-03-24,0.05926668,-0.00489674,0.04044856,1,40,2,1.00000000
2025-03-26,0.22348218,-0.02237449,0.19107130,1,40,1,1.00000000
2025-03-28,0.05331634,0.01154286,0.04002852,1,40,2,1.00000000
2025-04-01,0.15599963,-0.00961104,0.11287885,1,40,2,1.00000000
2025-04-03,0.13604339,-0.01630698,0.11095960,1,40,2,1.00000000
2025-04-07,0.06976124,-0.02110111,0.04844627,1,40,2,1.00000000
2025-04-09,0.13512010,0.10167258,0.09985349,1,40,2,1.00000000
2025-04-11,0.25295005,0.01266397,0.21820238,1,40,2,1.00000000
2025-04-15,0.04672905,-0.01357810,0.01828357,1,40,2,1.00000000
2025-04-17,0.29531631,0.00100538,0.26088857,1,40,1,1.00000000
2025-04-22,0.15124020,0.03300712,0.13511184,1,40,1,1.00000000
2025-04-24,0.40195191,0.04278217,0.32948586,1,40,1,1.00000000
2025-04-28,0.03776055,0.00945836,0.01242985,1,40,5,1.00000000
2025-04-30,0.12059776,0.02551563,0.09114248,1,40,1,1.00000000
2025-05-02,0.02169450,0.01117723,0.00376373,1,40,9,1.00000000
2025-05-06,0.10860260,-0.01871112,0.06736471,1,40,4,1.00000000
2025-05-08,0.09461565,0.00039973,0.05413243,1,40,2,1.00000000
2025-05-12,0.11107256,-0.00885282,0.07816234,1,40,1,1.00000000
2025-05-14,0.18224220,-0.04719565,0.10037707,1,40,1,1.00000000
2025-05-16,0.03704948,0.00813817,0.01289348,1,40,4,1.00000000
2025-05-20,0.02036302,-0.00206612,0.00415073,1,40,5,1.00000000
2025-05-22,0.28295878,0.02209491,0.23147530,1,40,1,1.00000000
2025-05-27,0.00534512,0.00067082,0.00216910,1,40,9,1.00000000
2025-05-29,0.42711049,0.01379932,0.39456739,1,40,1,1.00000000
2025-06-02,0.06322260,-0.00231414,0.02616220,1,40,3,1.00000000
2025-06-04,0.06838369,-0.00731816,0.03444538,1,40,2,1.00000000
2025-06-06,0.18393013,-0.00501457,0.13944168,1,40,1,1.00000000
2025-06-10,0.15859520,-0.01491315,0.11201034,1,40,1,1.00000000
2025-06-12,0.14121210,0.01250495,0.11165279,1,40,2,1.00000000
2025-06-16,0.09278034,0.00527131,0.05766997,1,40,1,1.00000000
2025-06-18,0.16495479,-0.00116680,0.13472813,1,40,3,1.00000000
2025-06-23,0.42629158,0.00520468,0.34095416,1,40,1,1.00000000
2025-06-25,0.10554279,0.00439751,0.06192102,1,40,1,1.00000000
2025-06-27,0.26209127,0.13207861,0.19771358,1,40,2,1.00000000
2025-07-01,0.10920281,0.00356969,0.07735483,1,40,2,1.00000000
2025-07-03,0.08392195,0.01490658,0.05846966,1,40,1,1.00000000
2025-07-08,0.02371516,0.02976997,0.00771143,1,40,8,1.00000000
2025-07-10,0.09741078,0.00157878,0.06545804,1,40,2,1.00000000
2025-07-14,0.07065145,-0.00455973,0.03796437,1,40,7,1.00000000
2025-07-16,0.17951883,-0.00454901,0.14175640,1,40,3,1.00000000
2025-07-18,0.05360063,0.00326713,0.02342972,1,40,4,1.00000000
2025-07-22,0.00292587,0.00043729,-0.00127072,1,40,9,1.00000000
2025-07-24,0.15487531,0.00179478,0.09922968,1,40,1,1.00000000
2025-07-28,0.13995661,-0.00160740,0.07455706,1,40,2,1.00000000
2025-07-30,0.05201995,-0.00504846,0.02967674,1,40,6,1.00000000
2025-08-01,0.03160903,-0.00161156,0.01573871,1,40,5,1.00000000
2025-08-05,0.03904468,0.00596071,0.01555247,1,40,5,1.00000000
2025-08-07,0.08674390,-0.00827543,0.05847666,1,40,4,1.00000000
2025-08-11,0.24089603,0.00588158,0.18339855,1,40,1,1.00000000
2025-08-13,0.04532575,0.01623275,0.02422323,1,40,2,1.00000000
2025-08-15,0.04726452,-0.00562260,0.02623373,1,40,3,1.00000000
2025-08-19,0.13899665,0.01240129,0.06515342,1,40,1,1.00000000
2025-08-21,0.07016756,0.00384282,0.04952740,1,40,3,1.00000000
2025-08-25,0.19045773,-0.00263779,0.14583737,1,40,1,1.00000000
2025-08-27,0.09708705,0.01263929,0.05426936,1,40,2,1.00000000
2025-08-29,0.09614898,0.02301159,0.03874304,1,40,2,1.00000000
2025-09-03,0.05436921,0.00488068,0.02056561,1,40,4,1.00000000
2025-09-05,0.14891065,0.00139193,0.12391893,1,40,4,1.00000000
2025-09-09,0.27167946,-0.00163528,0.19190788,1,40,1,1.00000000
2025-09-11,0.16875293,0.01079065,0.14724017,1,40,3,1.00000000
2025-09-15,0.23852211,0.00132324,0.21306492,1,40,1,1.00000000
2025-09-17,0.02513862,-0.00279886,0.00984190,1,40,4,1.00000000
2025-09-19,0.09626267,0.03414208,0.06475728,1,40,1,1.00000000
2025-09-23,0.05479206,0.00580052,0.04483049,1,40,3,1.00000000
2025-09-25,0.06901199,-0.00118654,0.04665474,1,40,3,1.00000000
2025-09-29,0.15187965,-0.00805506,0.12326539,1,40,1,1.00000000
2025-10-01,0.23124266,0.00865062,0.15282756,1,40,1,1.00000000
2025-10-03,0.62698740,0.01815375,0.54298144,1,40,1,1.00000000
2025-10-07,0.01513089,0.00126412,0.00452660,1,40,10,1.00000000
2025-10-09,0.06604405,0.01882114,0.04446817,1,40,2,1.00000000
2025-10-13,0.06024243,0.01143925,0.03782275,1,40,2,1.00000000
2025-10-15,0.16184771,0.04177580,0.09916276,1,40,1,1.00000000
2025-10-17,0.14670712,0.00460389,0.08238256,1,40,1,1.00000000
2025-10-21,0.18868269,-0.07447970,0.15127533,1,40,1,1.00000000
2025-10-23,0.23182689,0.03303448,0.17047229,1,40,1,1.00000000
2025-10-27,0.23849721,0.00955429,0.13691379,1,40,1,1.00000000
2025-10-29,0.45490143,-0.00458547,0.37552705,1,40,1,1.00000000
2025-10-31,0.01259956,-0.00294747,0.00414236,1,40,8,1.00000000
2025-11-04,0.06185130,-0.02857568,0.03674828,1,40,3,1.00000000
2025-11-06,0.03958181,0.00256740,0.01508819,1,40,7,1.00000000
2025-11-10,0.13349397,0.00844463,0.05565858,1,40,2,1.00000000
2025-11-12,0.06748930,0.00627035,0.04062008,1,40,3,1.00000000
2025-11-14,0.00127051,-0.00467511,-0.00248579,1,40,19,1.00000000
2025-11-18,0.13339780,-0.01412852,0.11283965,1,40,1,1.00000000
2025-11-20,0.00331972,-0.00001292,-0.00012260,1,40,18,1.00000000
2025-11-24,0.06454890,0.01475543,0.01717725,1,40,1,1.00000000
2025-11-26,0.03842880,0.01658202,0.02354344,1,40,6,1.00000000
