period;expected_portfolio_return;realized_portfolio_return;objective;is_robust;n_assets;n_invested;sum_w;
17.01.2025;0,68143576;0,00172176;0,67526976;0;40;1;1;
22.01.2025;0,50443;-0,00230218;0,48556854;0;40;1;1;
24.01.2025;0,32403153;0,01134609;0,30862458;0;40;1;1;
28.01.2025;0,9891696;0,01551333;0,97541091;0;40;1;1;
30.01.2025;0,52053869;0,0037424;0,51669866;0;40;1;1;
3.02.2025;0,65090567;0,00818355;0,63767251;0;40;1;1;
5.02.2025;0,23238161;0,01637525;0,2290074;0;40;1;1;
7.02.2025;1,12000191;0,02833621;1,11441864;0;40;1;1;
11.02.2025;0,01394162;-0,00037758;0,0123191;0;40;1;1;
13.02.2025;0,46300596;0,01648612;0,45888504;0;40;1;1;
18.02.2025;0,26644483;0,01560885;0,25633264;0;40;1;1;
20.02.2025;0,45876828;0,01112933;0,45114716;0;40;1;1;
24.02.2025;0,44094086;-0,01223493;0,43142393;0;40;1;1;
26.02.2025;0,45108575;0,00327393;0,44879187;0;40;1;1;
28.02.2025;0,21140252;0,01219146;0,20713934;0;40;1;1;
4.03.2025;0,13749884;-0,00429652;0,13552062;0;40;2;1;
6.03.2025;0,75193769;0,00621953;0,74287074;0;40;1;1;
10.03.2025;0,53718519;-0,00842295;0,52836677;0;40;1;1;1000
12.03.2025;0,28966448;-0,00599138;0,16550096;1;40;1;1;994,00862
14.03.2025;2,02359366;-0,00530925;1,90180379;1;40;1;1;988,7311797
18.03.2025;0,12480044;-0,01745846;0,08353411;1;40;1;1;971,469456
20.03.2025;0,39649287;-0,0000768;0,3245697;1;40;2;1;971,3948471
24.03.2025;0,22133905;-0,00385543;0,13375088;1;40;4;1;967,6497023
26.03.2025;0,43188465;-0,02035606;0,39128596;1;40;2;1;947,9521669
28.03.2025;0,4166165;0,00293837;0,19722495;1;40;1;1;950,7376011
1.04.2025;0,81966072;-0,00871534;0,57440638;1;40;1;1;942,4515997
3.04.2025;0,28746739;0,02026643;0,19175746;1;40;1;1;961,551729
7.04.2025;0,26387138;-0,01944276;0,131952;1;40;2;1;942,8565095
9.04.2025;1,6530093;0,0058684;1,387218;1;40;1;1;948,3895687
11.04.2025;0,32212406;-0,00244593;0,27251184;1;40;2;1;946,0698742
15.04.2025;0,50708324;0,00432784;0,38022462;1;40;1;1;950,1643132
17.04.2025;0,61971335;-0,00936799;0,333788;1;40;2;1;941,2631834
22.04.2025;0,81885801;0,02124932;0,61796515;1;40;2;1;961,264386
24.04.2025;0,27650839;0,03750276;0,20248742;1;40;2;1;997,3144536
28.04.2025;0,23199295;0,00771251;0,14178555;1;40;2;1;1005,006251
30.04.2025;0,61420422;-0,00782946;0,37427343;1;40;2;1;997,137595
2.05.2025;1,01021814;-0,00623265;0,69977135;1;40;1;1;990,9227854
6.05.2025;0,25520008;-0,0021575;0,18656195;1;40;2;1;988,7848695
8.05.2025;0,87897756;-0,00534204;0,5750031;1;40;2;1;983,5027412
12.05.2025;1,26061523;-0,00885282;0,9287232;1;40;1;1;974,7959684
14.05.2025;0,45379767;-0,01834461;0,3071549;1;40;1;1;956,9137166
16.05.2025;0,38504682;-0,00097069;0,27970597;1;40;4;1;955,98485
20.05.2025;0,31125918;0,01020465;0,18857965;1;40;4;1;965,7403408
22.05.2025;0,26074192;0,02209491;0,19351199;1;40;1;1;987,0782867
27.05.2025;0,54478858;-0,00936265;0,19372414;1;40;2;1;977,8366182
29.05.2025;1,71226358;0,00204357;1,38419452;1;40;1;1;979,8348958
2.06.2025;1,7049669;-0,00935019;1,40330948;1;40;1;1;970,6732533
4.06.2025;0,3819356;0,00188904;0,26427657;1;40;1;1;972,5068939
6.06.2025;1,11852573;-0,00131547;0,90050866;1;40;2;1;971,2275903
10.06.2025;1,22932458;-0,00398744;0,84463427;1;40;1;1;967,3548785
12.06.2025;1,34587273;0,00129975;0,94931898;1;40;2;1;968,612198
16.06.2025;0,10992604;0,00259035;0,08175802;1;40;5;1;971,1212426
18.06.2025;1,48810589;-0,00605765;1,07191044;1;40;1;1;965,2385301
23.06.2025;1,34221804;0,00490783;0,90834846;1;40;1;1;969,9757567
25.06.2025;0,52943182;0,00940702;0,22130396;1;40;1;1;979,100338
27.06.2025;0,78119161;-0,0079694;0,56613957;1;40;2;1;971,2974958
1.07.2025;0,09883696;0,00260734;0,06529505;1;40;3;1;973,8299986
3.07.2025;0,27589229;0,00406337;0,17285599;1;40;2;1;977,7870302